# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_1000sampling.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
4.99511721	-52.37821385
5.00244143	-54.57819905
5.00976565	-57.10143230
5.01708986	-49.29797410
5.02441408	-49.69615085
5.03173830	-55.61639753
5.03906252	-60.02101219
5.04638674	-54.15102053
5.05371096	-58.49471134
5.06103518	-56.65327811
5.06835940	-51.12640524
5.07568361	-46.88369256
5.08300783	-48.04712795
5.09033205	-46.81671798
5.09765627	-51.83636253
5.10498049	-68.48204953
5.11230471	-72.57337384
5.11962893	-47.59072214
5.12695315	-48.05313446
5.13427737	-57.82853348
5.14160158	-48.98386246
5.14892580	-55.07187802
5.15625002	-45.62605994
5.16357424	-46.68797726
5.17089846	-49.86853157
5.17822268	-49.06029664
5.18554690	-52.94284469
5.19287112	-47.15946490
5.20019533	-44.78617831
5.20751955	-55.36845012
5.21484377	-64.54998615
5.22216799	-48.40708760
5.22949221	-50.39591503
5.23681643	-48.78889565
5.24414065	-47.98924985
5.25146487	-51.76914673
5.25878908	-49.07837733
5.26611330	-45.37047279
5.27343752	-52.68261615
5.28076174	-55.92576644
5.28808596	-57.86487630
5.29541018	-52.66662480
5.30273440	-51.25616501
5.31005862	-52.55244766
5.31738283	-49.84565181
5.32470705	-51.77497084
5.33203127	-53.09798836
5.33935549	-50.89123331
5.34667971	-50.15316746
5.35400393	-55.64675029
5.36132815	-55.97843613
5.36865237	-48.17138791
5.37597658	-47.52753466
5.38330080	-50.20714332
5.39062502	-47.80620828
5.39794924	-45.26888369
5.40527346	-49.55311645
5.41259768	-50.23713038
5.41992190	-48.04180963
5.42724612	-46.91923803
5.43457034	-50.96229360
5.44189455	-57.43545951
5.44921877	-51.18924385
5.45654299	-52.60196031
5.46386721	-64.80739602
5.47119143	-49.93398490
5.47851565	-51.59693948
5.48583987	-59.62372598
5.49316409	-54.14385446
5.50048830	-63.32365466
5.50781252	-50.90210636
5.51513674	-57.83560781
5.52246096	-57.26733416
5.52978518	-56.68878311
5.53710940	-52.52729199
5.54443362	-47.90844413
5.55175784	-51.55819397
5.55908205	-48.18926534
5.56640627	-56.10431618
5.57373049	-52.01186021
5.58105471	-51.67825821
5.58837893	-51.64945707
5.59570315	-56.91414957
5.60302737	-53.20742487
5.61035159	-56.12334538
5.61767580	-51.17999702
5.62500002	-59.24461686
5.63232424	-55.50404094
5.63964846	-56.17254720
5.64697268	-48.54617844
5.65429690	-49.78064452
5.66162112	-53.31546350
5.66894534	-71.05786326
5.67626955	-59.62844803
5.68359377	-49.06239085
5.69091799	-49.55563936
5.69824221	-51.62578037
5.70556643	-55.74816900
5.71289065	-55.53287368
5.72021487	-63.76880597
5.72753909	-54.35012493
5.73486331	-51.34666402
5.74218752	-47.25896124
5.74951174	-49.69451141
5.75683596	-49.63549039
5.76416018	-57.57947945
5.77148440	-49.26823589
5.77880862	-49.67758643
5.78613284	-49.13363196
5.79345706	-56.48133314
5.80078127	-61.55371668
5.80810549	-61.28003560
5.81542971	-60.69668730
5.82275393	-58.03826743
5.83007815	-49.22043628
5.83740237	-48.61678570
5.84472659	-52.86270615
5.85205081	-45.17063831
5.85937502	-54.87718608
5.86669924	-50.21796406
5.87402346	-47.62538787
5.88134768	-51.95802560
5.88867190	-58.19980978
5.89599612	-55.29013056
5.90332034	-51.91479544
5.91064456	-48.94229984
5.91796877	-66.64141279
5.92529299	-60.21097924
5.93261721	-52.34720319
5.93994143	-52.56423757
5.94726565	-58.76574417
5.95458987	-60.44133955
5.96191409	-57.40973685
5.96923831	-50.06208575
5.97656252	-51.73120608
5.98388674	-69.64326538
5.99121096	-57.45237048
5.99853518	-60.72382100
6.00585940	-55.42100588
6.01318362	-64.04625424
6.02050784	-53.08977853
6.02783206	-54.25206376
6.03515628	-49.36325302
6.04248049	-52.70926864
6.04980471	-60.75535356
6.05712893	-52.46965383
6.06445315	-55.11599724
6.07177737	-54.41612109
6.07910159	-53.53250663
6.08642581	-49.48903213
6.09375003	-53.60704389
6.10107424	-49.80720097
6.10839846	-57.54559598
6.11572268	-53.64979124
6.12304690	-72.05046025
6.13037112	-55.39613186
6.13769534	-54.89625964
6.14501956	-48.53886544
6.15234378	-51.14326827
6.15966799	-54.52620247
6.16699221	-51.25797847
6.17431643	-49.38592291
6.18164065	-50.63287232
6.18896487	-59.30619683
6.19628909	-55.19882147
6.20361331	-48.84685277
6.21093753	-54.26033937
6.21826174	-51.30701482
6.22558596	-55.57749115
6.23291018	-56.26216736
6.24023440	-52.53432238
6.24755862	-49.69753525
6.25488284	-51.74868530
6.26220706	-50.86311378
6.26953128	-50.85432564
6.27685549	-55.41288574
6.28417971	-48.89854972
6.29150393	-50.19949065
6.29882815	-58.95658822
6.30615237	-58.41286558
6.31347659	-51.29983881
6.32080081	-52.05953395
6.32812503	-57.01630797
6.33544925	-51.87674544
6.34277346	-50.70124344
6.35009768	-57.49055200
6.35742190	-55.87821826
6.36474612	-49.58804269
6.37207034	-49.87681404
6.37939456	-57.84025749
6.38671878	-55.57831219
6.39404300	-57.42349007
6.40136721	-56.72713936
6.40869143	-56.19867417
6.41601565	-54.84032819
6.42333987	-63.23675704
6.43066409	-63.07479380
6.43798831	-52.43945317
6.44531253	-52.43905166
6.45263675	-62.07049807
6.45996096	-55.87370106
6.46728518	-62.50077118
6.47460940	-56.89209396
6.48193362	-57.60076527
6.48925784	-59.53714771
6.49658206	-59.00430398
6.50390628	-49.05853481
6.51123050	-45.72743229
6.51855471	-51.19775353
6.52587893	-59.76100471
6.53320315	-50.14183668
6.54052737	-49.37275928
6.54785159	-63.98494276
6.55517581	-64.51979905
6.56250003	-54.20038624
6.56982425	-49.78775114
6.57714846	-75.20514896
6.58447268	-51.29955862
6.59179690	-57.07667022
6.59912112	-48.21443308
6.60644534	-49.72423783
6.61376956	-52.89716802
6.62109378	-57.68803898
6.62841800	-54.61880768
6.63574222	-52.01316342
6.64306643	-52.45908645
6.65039065	-54.64966001
6.65771487	-57.37195014
6.66503909	-50.74412473
6.67236331	-52.08326649
6.67968753	-50.19237107
6.68701175	-64.57043538
6.69433597	-62.86346280
6.70166018	-59.34197856
6.70898440	-52.20286498
6.71630862	-61.21360395
6.72363284	-58.18245663
6.73095706	-57.72770652
6.73828128	-55.69352859
6.74560550	-54.09800384
6.75292972	-55.66674188
6.76025393	-55.15783511
6.76757815	-54.89901911
6.77490237	-53.59130221
6.78222659	-55.43742195
6.78955081	-46.39831193
6.79687503	-56.78428826
6.80419925	-52.26959034
6.81152347	-65.71674297
6.81884768	-52.39668874
6.82617190	-56.50825357
6.83349612	-56.05907879
6.84082034	-50.26659754
6.84814456	-57.15442948
6.85546878	-60.75564738
6.86279300	-50.82523889
6.87011722	-52.43097132
6.87744143	-58.63091858
6.88476565	-54.57460352
6.89208987	-63.88618252
6.89941409	-56.35838342
6.90673831	-60.18754012
6.91406253	-50.44581297
6.92138675	-52.13469548
6.92871097	-50.17327382
6.93603519	-61.44634775
6.94335940	-51.50102339
6.95068362	-65.26514186
6.95800784	-61.55264894
6.96533206	-56.51712519
6.97265628	-62.75405525
6.97998050	-58.58044444
6.98730472	-59.05691985
6.99462894	-53.77222633
7.00195315	-47.74336307
7.00927737	-52.66072288
7.01660159	-52.49690206
7.02392581	-64.09548970
7.03125003	-58.26260902
7.03857425	-64.45149736
7.04589847	-56.74111869
7.05322269	-56.74880340
7.06054690	-54.54096050
7.06787112	-55.57971469
7.07519534	-61.86660928
7.08251956	-67.97631725
7.08984378	-54.30781313
7.09716800	-51.65470566
7.10449222	-53.19734107
7.11181644	-56.38507679
7.11914065	-52.20156766
7.12646487	-82.03137456
7.13378909	-56.81287276
7.14111331	-47.12384505
7.14843753	-45.74510921
7.15576175	-62.29116872
7.16308597	-56.43232546
7.17041019	-48.60680299
7.17773440	-48.38655318
7.18505862	-55.13049369
7.19238284	-68.25002632
7.19970706	-66.94715684
7.20703128	-57.39140508
7.21435550	-66.27006376
7.22167972	-54.48707945
7.22900394	-48.95352143
7.23632816	-51.11838078
7.24365237	-72.58100983
7.25097659	-61.48203197
7.25830081	-58.63055856
7.26562503	-55.27154164
7.27294925	-54.74249632
7.28027347	-54.55126759
7.28759769	-54.00361467
7.29492191	-58.11891121
7.30224612	-51.74137902
7.30957034	-57.58601949
7.31689456	-49.23149214
7.32421878	-58.66408605
7.33154300	-53.21549169
7.33886722	-54.68410018
7.34619144	-59.34897474
7.35351566	-53.21612082
7.36083987	-67.19513965
7.36816409	-52.42565173
7.37548831	-61.16737191
7.38281253	-50.37018777
7.39013675	-60.40748582
7.39746097	-69.18270080
7.40478519	-52.88031174
7.41210941	-52.76479447
7.41943362	-55.88988175
7.42675784	-62.39935800
7.43408206	-58.40808860
7.44140628	-51.94524253
7.44873050	-55.42084495
7.45605472	-47.20922266
7.46337894	-68.06835173
7.47070316	-55.30151490
7.47802737	-55.37742384
7.48535159	-54.81371969
7.49267581	-48.22831692
7.50000003	-37.62804506
7.50732425	-45.31482409
7.51464847	-48.02468295
7.52197269	-63.76265508
7.52929691	-50.91886366
7.53662113	-50.88187604
7.54394534	-53.61700022
7.55126956	-46.37826961
7.55859378	-55.12276330
7.56591800	-56.59342614
7.57324222	-55.04370035
7.58056644	-54.47222844
7.58789066	-58.67495100
7.59521488	-54.68978553
7.60253909	-48.51996469
7.60986331	-49.11015509
7.61718753	-48.51403909
7.62451175	-52.75618630
7.63183597	-51.70714190
7.63916019	-58.36469376
7.64648441	-52.43795608
7.65380863	-51.90049788
7.66113284	-54.30079193
7.66845706	-53.46128407
7.67578128	-54.93150034
7.68310550	-53.37660951
7.69042972	-54.82414344
7.69775394	-54.95462673
7.70507816	-58.35808776
7.71240238	-53.13449423
7.71972659	-54.65236328
7.72705081	-58.93885850
7.73437503	-50.73774103
7.74169925	-64.15033422
7.74902347	-50.43713041
7.75634769	-62.87699757
7.76367191	-49.80984212
7.77099613	-54.30841812
7.77832034	-51.56835809
7.78564456	-59.28048399
7.79296878	-55.25723002
7.80029300	-60.44465774
7.80761722	-53.91781564
7.81494144	-52.26577471
7.82226566	-57.14509170
7.82958988	-51.67372285
7.83691410	-47.74397696
7.84423831	-51.64143421
7.85156253	-69.64830141
7.85888675	-58.30113114
7.86621097	-75.65517792
7.87353519	-58.40146554
7.88085941	-70.33199078
7.88818363	-64.86427116
7.89550785	-54.05583326
7.90283206	-51.95532040
7.91015628	-55.28079411
