# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_calibration.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
6.40869143	-21.41277925
6.41601565	-32.60732238
6.42333987	-30.38737044
6.43066409	-25.48248243
6.43798831	-23.47421790
6.44531253	-32.15020411
6.45263675	-19.14133006
6.45996096	-25.30165655
6.46728518	-22.28140614
6.47460940	-20.01577128
6.48193362	-19.07701579
6.48925784	-20.92952354
6.49658206	-21.00121264
6.50390628	-19.97794306
6.51123050	-20.08945873
6.51855471	-23.91844637
6.52587893	-20.54168875
6.53320315	-19.93927646
6.54052737	-27.70373849
6.54785159	-25.17645541
6.55517581	-26.26484222
6.56250003	-25.36896159
6.56982425	-28.78336235
6.57714846	-21.71398231
6.58447268	-26.06497090
6.59179690	-26.40707868
6.59912112	-24.28315882
6.60644534	-29.49262721
6.61376956	-19.71884162
6.62109378	-24.42464934
6.62841800	-19.97889865
6.63574222	-28.44127748
6.64306643	-20.48265478
6.65039065	-23.16599099
6.65771487	-25.67810547
6.66503909	-19.27661091
6.67236331	-20.75033965
6.67968753	-26.98996123
6.68701175	-22.20550531
6.69433597	-21.55287951
6.70166018	-24.25226461
6.70898440	-21.82317540
6.71630862	-19.38825216
6.72363284	-19.38470505
6.73095706	-25.97739013
6.73828128	-27.11496353
6.74560550	-26.37382261
6.75292972	-21.57930985
6.76025393	-25.26369397
6.76757815	-16.22237255
6.77490237	-21.49737472
6.78222659	-33.00398227
6.78955081	-21.51824237
6.79687503	-23.87274544
6.80419925	-25.40802242
6.81152347	-22.04132008
6.81884768	-24.38146221
6.82617190	-25.42326609
6.83349612	-21.21975976
6.84082034	-27.26556580
6.84814456	-17.47052760
6.85546878	-31.72160991
6.86279300	-19.73688748
6.87011722	-27.49609003
6.87744143	-19.93795181
6.88476565	-24.46151543
6.89208987	-23.98863509
6.89941409	-21.72792347
6.90673831	-27.11355275
6.91406253	-21.15583369
6.92138675	-26.21910142
6.92871097	-28.94298881
6.93603519	-21.91126663
6.94335940	-28.17887023
6.95068362	-17.59482872
6.95800784	-18.38525949
6.96533206	-24.67358203
6.97265628	-26.00410657
6.97998050	-33.35501559
6.98730472	-26.25763557
6.99462894	-29.36049851
7.00195315	-25.90895197
7.00927737	-21.15661073
7.01660159	-16.64249588
7.02392581	-29.64724758
7.03125003	-26.45798665
7.03857425	-26.70887530
7.04589847	-34.59249369
7.05322269	-22.60591147
7.06054690	-21.82534031
7.06787112	-17.36157600
7.07519534	-20.30577870
7.08251956	-25.62360449
7.08984378	-26.56198983
