# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.95238097	-75.51850505
4.95970698	-76.28965660
4.96703299	-79.32382553
4.97435900	-82.44345439
4.98168500	-96.13057254
4.98901101	-85.75561454
4.99633702	-81.74315147
5.00366302	-85.68793136
5.01098903	-78.57248700
5.01831504	-75.97067114
5.02564105	-82.71894487
5.03296705	-82.55897006
5.04029306	-89.21082472
5.04761907	-79.92278867
5.05494508	-74.93519986
5.06227108	-77.50316401
5.06959709	-73.80279718
5.07692310	-89.09570778
5.08424911	-80.48578492
5.09157511	-80.15002654
5.09890112	-77.05817643
5.10622713	-75.13150126
5.11355314	-73.90930359
5.12087914	-77.39398721
5.12820515	-75.20864652
5.13553116	-87.59874651
5.14285716	-80.24591212
5.15018317	-77.44667295
5.15750918	-84.27635072
5.16483519	-80.14181621
5.17216119	-75.02239528
5.17948720	-74.63389904
5.18681321	-90.29164522
5.19413922	-73.61333519
5.20146522	-76.91837130
5.20879123	-94.14341473
5.21611724	-75.40145491
5.22344325	-77.57482535
5.23076925	-78.98095296
5.23809526	-78.62073109
5.24542127	-73.92577842
5.25274728	-79.77137356
5.26007328	-76.57115532
5.26739929	-71.96973420
5.27472530	-75.91653189
5.28205130	-86.06013724
5.28937731	-78.00408811
5.29670332	-69.44214836
5.30402933	-73.03129318
5.31135533	-78.13467560
5.31868134	-76.73029217
5.32600735	-81.63071949
5.33333336	-78.64613917
5.34065936	-78.87301072
5.34798537	-92.66226974
5.35531138	-76.92676247
5.36263739	-75.50249536
5.36996339	-81.13118434
5.37728940	-84.00777694
5.38461541	-79.56535412
5.39194141	-77.10207179
5.39926742	-69.57307912
5.40659343	-74.44335891
5.41391944	-82.24645478
5.42124544	-75.71553672
5.42857145	-70.45847869
5.43589746	-80.64312621
5.44322347	-79.37248040
5.45054947	-76.88676926
5.45787548	-80.95436876
5.46520149	-86.32170094
5.47252750	-76.49897021
5.47985350	-87.07928153
5.48717951	-72.75411157
5.49450552	-76.15235224
5.50183153	-73.54717500
5.50915753	-82.38241334
5.51648354	-72.27959675
5.52380955	-82.11942958
5.53113555	-75.33574489
5.53846156	-77.62109373
5.54578757	-76.56664782
5.55311358	-77.44440717
5.56043958	-77.89997516
5.56776559	-84.05355896
5.57509160	-79.56292420
5.58241761	-82.15944481
5.58974361	-80.09274902
5.59706962	-84.25719977
5.60439563	-70.23339648
5.61172164	-85.04775041
5.61904764	-78.13671050
5.62637365	-80.52549689
5.63369966	-83.63236983
5.64102567	-75.48054334
5.64835167	-96.24606840
5.65567768	-87.10584317
5.66300369	-76.63361855
5.67032969	-73.61580574
5.67765570	-76.13614181
5.68498171	-72.34378133
5.69230772	-82.16669956
5.69963372	-77.99090163
5.70695973	-77.57591842
5.71428574	-71.76488756
5.72161175	-80.85461298
5.72893775	-81.38417370
5.73626376	-77.99091811
5.74358977	-74.34053084
5.75091578	-78.90122371
5.75824178	-74.98915461
5.76556779	-72.75230681
5.77289380	-74.34635103
5.78021980	-76.89374865
5.78754581	-79.32548265
5.79487182	-78.96731561
5.80219783	-76.77889550
5.80952383	-76.68342031
5.81684984	-89.35782983
5.82417585	-83.96992656
5.83150186	-89.79846205
5.83882786	-77.74699166
5.84615387	-89.06165756
5.85347988	-77.29140642
5.86080589	-83.42362844
5.86813189	-74.64380979
5.87545790	-76.21258537
5.88278391	-86.89464795
5.89010992	-80.94124163
5.89743592	-77.85902811
5.90476193	-78.33318184
5.91208794	-77.15356164
5.91941394	-78.97696620
5.92673995	-78.37148037
5.93406596	-79.09481229
5.94139197	-72.36320536
5.94871797	-74.00804172
5.95604398	-80.36774979
5.96336999	-77.92533115
5.97069600	-74.01097140
5.97802200	-95.97116412
5.98534801	-77.45936567
5.99267402	-75.30094294
6.00000003	-80.66418414
6.00732603	-76.49138260
6.01465204	-77.19248239
6.02197805	-76.30494977
6.02930405	-77.14701853
6.03663006	-77.22524662
6.04395607	-73.91102968
6.05128208	-83.71724674
6.05860808	-77.09446780
6.06593409	-89.36250444
6.07326010	-81.73938185
6.08058611	-73.96978275
6.08791211	-79.25119081
6.09523812	-81.82791070
6.10256413	-76.84211559
6.10989014	-76.01922108
6.11721614	-75.73330571
6.12454215	-115.27950004
6.13186816	-83.75498097
6.13919417	-74.58426105
6.14652017	-82.19263898
6.15384618	-81.66423426
6.16117219	-83.65358789
6.16849819	-82.64772585
6.17582420	-81.88897186
6.18315021	-82.75377485
6.19047622	-92.96572366
6.19780222	-71.79162934
6.20512823	-75.24549433
