# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-308.20000004	0.00024522
-308.16666670	0.00024252
-308.13333337	0.00018245
-308.10000004	0.00018352
-308.06666670	0.00023364
-308.03333337	0.00017554
-308.00000004	0.00010163
-307.96666670	0.00002526
-307.93333337	-0.00010978
-307.90000004	0.00045858
-307.86666671	0.00017098
-307.83333337	-0.00003167
-307.80000004	-0.00022369
-307.76666671	-0.00000101
-307.73333337	-0.00020768
-307.70000004	0.00027513
-307.66666671	0.00024398
-307.63333337	0.00026728
-307.60000004	0.00009206
-307.56666671	-0.00002435
-307.53333337	0.00020732
-307.50000004	0.00003504
-307.46666671	-0.00003674
-307.43333337	0.00011911
-307.40000004	0.00022659
-307.36666671	0.00008737
-307.33333337	0.00016679
-307.30000004	0.00027976
-307.26666671	0.00018579
-307.23333337	0.00004928
-307.20000004	0.00020023
-307.16666671	0.00002798
-307.13333337	-0.00017308
-307.10000004	0.00012291
-307.06666671	-0.00020080
-307.03333337	0.00001759
-307.00000004	-0.00013719
-306.96666671	-0.00007314
-306.93333337	-0.00023486
-306.90000004	-0.00011764
-306.86666671	0.00001198
-306.83333337	-0.00004457
-306.80000004	0.00001192
-306.76666671	0.00009530
-306.73333337	0.00003383
-306.70000004	0.00001188
-306.66666671	0.00003448
-306.63333337	0.00003439
-306.60000004	0.00024403
-306.56666671	-0.00003549
-306.53333337	-0.00020503
-306.50000004	-0.00022624
-306.46666671	0.00017797
-306.43333337	0.00013327
-306.40000004	0.00015674
-306.36666671	-0.00012028
-306.33333337	0.00011471
-306.30000004	-0.00007142
-306.26666671	-0.00021749
-306.23333337	-0.00016733
-306.20000004	0.00003313
-306.16666671	-0.00017270
-306.13333337	-0.00014573
-306.10000004	0.00009496
-306.06666671	0.00000713
-306.03333338	-0.00030542
-306.00000004	-0.00002920
-305.96666671	0.00005039
-305.93333338	-0.00009995
-305.90000004	-0.00031658
-305.86666671	-0.00022126
-305.83333338	0.00005528
-305.80000004	-0.00007080
-305.76666671	-0.00004011
-305.73333338	-0.00016669
-305.70000004	-0.00012832
-305.66666671	-0.00006628
-305.63333338	-0.00021253
-305.60000004	-0.00005215
-305.56666671	0.00001992
-305.53333338	-0.00011771
-305.50000004	-0.00021174
-305.46666671	-0.00065569
-305.43333338	-0.00040143
-305.40000004	-0.00030467
-305.36666671	-0.00024908
-305.33333338	-0.00020015
-305.30000004	-0.00010483
-305.26666671	-0.00024517
-305.23333338	-0.00031198
-305.20000004	-0.00044152
-305.16666671	-0.00019013
-305.13333338	-0.00032744
-305.10000004	-0.00025120
-305.06666671	-0.00037323
-305.03333338	-0.00044859
-305.00000004	-0.00019888
-304.96666671	-0.00021806
-304.93333338	-0.00017977
-304.90000004	-0.00033399
-304.86666671	-0.00009071
-304.83333338	0.00008585
-304.80000004	-0.00021750
-304.76666671	-0.00004189
-304.73333338	-0.00001258
-304.70000004	-0.00014310
-304.66666671	-0.00019635
-304.63333338	-0.00011535
-304.60000004	-0.00014593
-304.56666671	-0.00013800
-304.53333338	-0.00022866
-304.50000004	-0.00016871
-304.46666671	-0.00023815
-304.43333338	-0.00010150
-304.40000004	0.00003139
-304.36666671	-0.00007125
-304.33333338	0.00004129
-304.30000004	0.00022455
-304.26666671	-0.00012227
-304.23333338	0.00028780
-304.20000004	0.00001183
-304.16666671	0.00026349
-304.13333338	-0.00004149
-304.10000005	0.00021872
-304.06666671	-0.00001791
-304.03333338	0.00014844
-304.00000005	-0.00007844
-303.96666671	0.00009499
-303.93333338	0.00003207
-303.90000005	0.00015637
-303.86666671	0.00017885
-303.83333338	0.00016479
-303.80000005	0.00025994
-303.76666671	0.00008233
-303.73333338	0.00012532
-303.70000005	-0.00008525
-303.66666671	0.00000405
-303.63333338	0.00013027
-303.60000005	0.00030490
-303.56666671	0.00023595
-303.53333338	0.00006993
-303.50000005	0.00020990
-303.46666671	-0.00001088
-303.43333338	0.00015090
-303.40000005	0.00014323
-303.36666671	0.00006550
-303.33333338	0.00001259
-303.30000005	0.00015826
-303.26666671	-0.00002849
-303.23333338	-0.00035441
-303.20000005	-0.00000947
-303.16666671	-0.00007666
-303.13333338	-0.00018113
-303.10000005	-0.00044358
-303.06666671	-0.00027009
-303.03333338	-0.00010689
-303.00000005	0.00005333
-302.96666671	-0.00004106
-302.93333338	-0.00037944
-302.90000005	-0.00027426
-302.86666671	-0.00005430
-302.83333338	-0.00035960
-302.80000005	-0.00006571
-302.76666671	-0.00021776
-302.73333338	-0.00006125
-302.70000005	-0.00000402
-302.66666671	-0.00036263
-302.63333338	0.00007021
-302.60000005	-0.00034694
-302.56666671	0.00009515
-302.53333338	-0.00002210
-302.50000005	-0.00032890
-302.46666671	-0.00029176
-302.43333338	-0.00009752
-302.40000005	-0.00027729
-302.36666671	-0.00032835
-302.33333338	-0.00021157
-302.30000005	-0.00036704
-302.26666672	-0.00010264
-302.23333338	-0.00014489
-302.20000005	0.00004928
-302.16666672	-0.00021878
-302.13333338	-0.00054585
-302.10000005	0.00005131
-302.06666672	0.00005331
-302.03333338	0.00015212
-302.00000005	-0.00013675
-301.96666672	-0.00009163
