# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.65934067	-75.83379025
4.66666667	-80.14067486
4.67399268	-76.82569055
4.68131869	-71.61194148
4.68864470	-75.86967585
4.69597070	-76.96026130
4.70329671	-85.63805174
4.71062272	-68.07415119
4.71794873	-73.31148657
4.72527473	-70.87274060
4.73260074	-72.55932345
4.73992675	-78.25760971
4.74725276	-81.83110353
4.75457876	-80.31820381
4.76190477	-76.27202671
4.76923078	-70.43541277
4.77655679	-77.51916827
4.78388279	-79.63724574
4.79120880	-91.21107014
4.79853481	-83.84910074
4.80586081	-77.05226774
4.81318682	-79.16239798
4.82051283	-80.14618529
4.82783884	-80.89345450
4.83516484	-81.99417522
4.84249085	-70.15784050
4.84981686	-71.48482047
4.85714287	-83.62378011
4.86446887	-74.49486313
4.87179488	-75.32026861
4.87912089	-74.51267691
4.88644690	-77.54365155
4.89377290	-93.59510561
4.90109891	-87.21692286
4.90842492	-78.27657608
4.91575092	-85.72072694
4.92307693	-80.75458037
4.93040294	-74.98214038
4.93772895	-73.93417018
4.94505495	-82.74107170
4.95238096	-79.08348340
4.95970697	-80.98966925
4.96703298	-83.94220433
4.97435898	-81.62180589
4.98168499	-85.97209963
4.98901100	-75.63980584
4.99633701	-76.87016152
5.00366301	-79.28569843
5.01098902	-82.12408429
5.01831503	-81.55647574
5.02564103	-82.05382677
5.03296704	-84.43471821
5.04029305	-77.67088807
5.04761906	-74.00702049
5.05494506	-79.90573110
5.06227107	-76.29175991
5.06959708	-84.89527834
5.07692309	-83.58480106
5.08424909	-79.41015648
5.09157510	-84.42002251
5.09890111	-75.29222607
5.10622712	-74.83633943
5.11355312	-75.11516116
5.12087913	-77.43607290
5.12820514	-78.18286198
5.13553114	-78.91598803
5.14285715	-74.04925087
5.15018316	-72.42815780
5.15750917	-78.48217252
5.16483517	-75.80360400
5.17216118	-75.34147741
5.17948719	-77.96611726
5.18681320	-76.84472405
5.19413920	-82.81758764
5.20146521	-74.89769953
5.20879122	-90.56055024
5.21611723	-74.00487405
5.22344323	-85.98237223
5.23076924	-76.30705956
5.23809525	-80.18704130
5.24542125	-77.48324253
5.25274726	-79.20065614
5.26007327	-71.40994244
5.26739928	-77.29543190
5.27472528	-89.59714783
5.28205129	-77.34756414
5.28937730	-85.68364337
5.29670331	-77.95988635
5.30402931	-84.88804928
5.31135532	-76.39121732
5.31868133	-92.17297234
5.32600734	-76.52026261
5.33333334	-80.33943247
5.34065935	-76.18074787
5.34798536	-82.77951374
5.35531136	-86.50953738
5.36263737	-82.84958910
5.36996338	-75.36217944
5.37728939	-80.11465867
5.38461539	-80.05399875
5.39194140	-76.13275252
5.39926741	-74.54341534
5.40659342	-92.07451442
5.41391942	-93.61585790
5.42124543	-73.91261250
5.42857144	-78.28771986
5.43589745	-85.81114762
5.44322345	-75.83256704
5.45054946	-78.73531271
5.45787547	-75.58146229
5.46520147	-74.02594973
5.47252748	-72.55099683
5.47985349	-76.96400316
5.48717950	-72.58165307
5.49450550	-77.21941307
5.50183151	-70.16828740
5.50915752	-70.38670249
5.51648353	-75.73115978
5.52380953	-83.34931681
5.53113554	-84.55868773
5.53846155	-74.90815485
5.54578756	-78.97476093
5.55311356	-80.25720029
5.56043957	-85.18823707
5.56776558	-79.06841152
5.57509159	-80.83208223
5.58241759	-79.55209119
5.58974360	-72.66597618
5.59706961	-70.09576478
5.60439561	-71.54390796
5.61172162	-75.37960666
5.61904763	-76.70891574
5.62637364	-76.65553046
5.63369964	-74.38643153
5.64102565	-76.71175193
5.64835166	-76.64803714
5.65567767	-78.09232253
5.66300367	-74.93245333
5.67032968	-73.47317988
5.67765569	-85.24520739
5.68498170	-78.98616630
5.69230770	-77.06079178
5.69963371	-85.20255365
5.70695972	-82.96187131
5.71428572	-89.55394101
5.72161173	-81.29037650
5.72893774	-80.82358421
5.73626375	-77.19193059
5.74358975	-78.08233194
5.75091576	-70.50992765
5.75824177	-72.06386144
5.76556778	-84.43540111
5.77289378	-79.76523741
5.78021979	-74.16720821
5.78754580	-86.48282107
5.79487181	-81.06940604
5.80219781	-72.44967193
5.80952382	-77.39254153
5.81684983	-77.34831913
5.82417583	-73.66012349
5.83150184	-82.00729073
5.83882785	-70.97209480
