# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-310.30000007	0.00078651
-310.26666673	0.00079542
-310.23333340	0.00089057
-310.20000007	0.00102826
-310.16666673	0.00096246
-310.13333340	0.00091015
-310.10000007	0.00075751
-310.06666673	0.00074766
-310.03333340	0.00080789
-310.00000007	0.00084969
-309.96666673	0.00097667
-309.93333340	0.00088895
-309.90000007	0.00090747
-309.86666673	0.00068444
-309.83333340	0.00078442
-309.80000007	0.00113179
-309.76666673	0.00108138
-309.73333340	0.00099981
-309.70000007	0.00096856
-309.66666674	0.00096101
-309.63333340	0.00120534
-309.60000007	0.00119436
-309.56666674	0.00132131
-309.53333340	0.00114653
-309.50000007	0.00097514
-309.46666674	0.00123245
-309.43333340	0.00102312
-309.40000007	0.00113185
-309.36666674	0.00115046
-309.33333340	0.00126217
-309.30000007	0.00137363
-309.26666674	0.00115752
-309.23333340	0.00118847
-309.20000007	0.00134529
-309.16666674	0.00117198
-309.13333340	0.00082895
-309.10000007	0.00115659
-309.06666674	0.00113102
-309.03333340	0.00118444
-309.00000007	0.00112269
-308.96666674	0.00113595
-308.93333340	0.00124392
-308.90000007	0.00140153
-308.86666674	0.00107850
-308.83333341	0.00108726
-308.80000007	0.00095287
-308.76666674	0.00094139
-308.73333341	0.00098285
-308.70000007	0.00096600
-308.66666674	0.00121132
-308.63333341	0.00106429
-308.60000007	0.00097297
-308.56666674	0.00113259
-308.53333341	0.00102501
-308.50000007	0.00104249
-308.46666674	0.00112025
-308.43333341	0.00124243
-308.40000007	0.00128604
-308.36666674	0.00086785
-308.33333341	0.00112138
-308.30000007	0.00114131
-308.26666674	0.00112902
-308.23333341	0.00119454
-308.20000007	0.00089474
-308.16666674	0.00078171
-308.13333341	0.00106994
-308.10000008	0.00102531
-308.06666674	0.00086304
-308.03333341	0.00075137
-308.00000008	0.00117759
-307.96666674	0.00087992
-307.93333341	0.00120112
-307.90000008	0.00087092
-307.86666674	0.00075661
-307.83333341	0.00083523
-307.80000008	0.00097658
-307.76666674	0.00067920
-307.73333341	0.00076495
-307.70000008	0.00072594
-307.66666674	0.00057832
-307.63333341	0.00086592
-307.60000008	0.00076547
-307.56666674	0.00065380
-307.53333341	0.00070525
-307.50000008	0.00054071
-307.46666674	0.00066493
-307.43333341	0.00095751
-307.40000008	0.00085338
-307.36666674	0.00070885
-307.33333341	0.00079290
-307.30000008	0.00073297
-307.26666675	0.00072172
-307.23333341	0.00061528
-307.20000008	0.00079135
