# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 50 waveforms. Timestamp: 2026-05-07T11:43:29
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-296.53333346	-0.00208267
-296.50000012	-0.00188369
-296.46666679	-0.00137595
-296.43333346	-0.00185123
-296.40000012	-0.00166674
-296.36666679	-0.00081855
-296.33333346	-0.00096670
-296.30000013	-0.00086817
-296.26666679	-0.00087772
-296.23333346	-0.00040831
-296.20000013	-0.00033393
-296.16666679	0.00027179
-296.13333346	0.00010436
-296.10000013	0.00033325
-296.06666679	0.00062977
-296.03333346	0.00093715
-296.00000013	0.00089232
-295.96666679	0.00113562
-295.93333346	0.00123912
-295.90000013	0.00140479
-295.86666679	0.00188782
-295.83333346	0.00193231
-295.80000013	0.00216412
-295.76666679	0.00251446
-295.73333346	0.00271121
-295.70000013	0.00281136
-295.66666679	0.00293128
-295.63333346	0.00334712
-295.60000013	0.00309926
-295.56666680	0.00317384
-295.53333346	0.00337392
-295.50000013	0.00330612
-295.46666680	0.00309573
-295.43333346	0.00384833
-295.40000013	0.00411464
-295.36666680	0.00423811
-295.33333346	0.00393336
-295.30000013	0.00378883
-295.26666680	0.00411899
-295.23333346	0.00405018
-295.20000013	0.00417102
-295.16666680	0.00412513
-295.13333346	0.00367779
-295.10000013	0.00435918
-295.06666680	0.00405636
-295.03333346	0.00401024
-295.00000013	0.00393924
-294.96666680	0.00393423
-294.93333346	0.00370024
-294.90000013	0.00365921
-294.86666680	0.00369339
-294.83333346	0.00375688
-294.80000013	0.00353692
-294.76666680	0.00357136
-294.73333347	0.00376042
-294.70000013	0.00376255
-294.66666680	0.00359812
-294.63333347	0.00365816
-294.60000013	0.00341591
-294.56666680	0.00342350
-294.53333347	0.00321143
-294.50000013	0.00316201
-294.46666680	0.00293434
-294.43333347	0.00308459
-294.40000013	0.00295654
-294.36666680	0.00304911
-294.33333347	0.00291174
-294.30000013	0.00307108
-294.26666680	0.00246205
-294.23333347	0.00253445
-294.20000013	0.00212880
-294.16666680	0.00217318
-294.13333347	0.00207431
-294.10000013	0.00152353
-294.06666680	0.00156581
-294.03333347	0.00142869
-294.00000014	0.00127734
-293.96666680	0.00081476
-293.93333347	0.00100537
-293.90000014	0.00122825
-293.86666680	0.00126418
-293.83333347	0.00055016
-293.80000014	0.00078297
-293.76666680	0.00078749
-293.73333347	0.00055871
-293.70000014	0.00055178
-293.66666680	0.00075452
-293.63333347	0.00040156
-293.60000014	0.00007921
-293.56666680	0.00006036
-293.53333347	0.00016315
-293.50000014	0.00040497
-293.46666680	0.00016741
-293.43333347	0.00017947
-293.40000014	0.00014533
-293.36666680	0.00003654
-293.33333347	0.00016984
-293.30000014	-0.00010094
-293.26666680	0.00012917
-293.23333347	-0.00006161
