# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.24542125	-10.19116607
1.25274726	-10.62019030
1.26007327	-10.18047222
1.26739927	-10.56203352
1.27472528	-10.58887657
1.28205129	-10.61184532
1.28937729	-10.92867787
1.29670330	-10.80041555
1.30402931	-11.09545567
1.31135532	-11.21915811
1.31868132	-11.45604186
1.32600733	-11.83953332
1.33333334	-11.55544146
1.34065935	-11.64602935
1.34798535	-11.89640656
1.35531136	-11.86088614
1.36263737	-12.07403022
1.36996338	-12.28538504
1.37728938	-12.23047012
1.38461539	-12.56201662
1.39194140	-12.79326167
1.39926741	-12.78365059
1.40659341	-16.07387668
1.41391942	-22.60319763
1.42124543	-14.70842783
1.42857143	-13.22343911
1.43589744	-13.78810624
1.44322345	-13.31857935
1.45054946	-13.61160645
1.45787546	-13.71264841
1.46520147	-13.57523498
1.47252748	-13.95207640
1.47985349	-13.87130199
1.48717949	-14.10111038
1.49450550	-14.24692269
1.50183151	-14.26391156
1.50915752	-14.56606801
1.51648352	-14.56364520
1.52380953	-14.83598031
1.53113554	-14.92983002
1.53846155	-15.02880934
1.54578755	-15.31115437
1.55311356	-15.16475374
1.56043957	-15.50613820
1.56776557	-15.53430837
1.57509158	-15.60451216
1.58241759	-16.01978932
1.58974360	-15.70105826
1.59706960	-17.46460296
1.60439561	-20.58472448
1.61172162	-17.91930305
1.61904763	-16.79034043
1.62637363	-17.13524194
1.63369964	-17.47187142
1.64102565	-17.74070554
1.64835166	-18.34261803
1.65567766	-21.88145691
1.66300367	-31.61147348
1.67032968	-43.56963507
1.67765568	-29.32701942
1.68498169	-21.22104655
1.69230770	-19.38495274
1.69963371	-19.97496433
1.70695971	-21.43825888
1.71428572	-27.13571763
1.72161173	-31.60657959
1.72893774	-22.89667446
1.73626374	-20.62406630
1.74358975	-19.89115725
1.75091576	-20.05481148
1.75824177	-21.09126166
1.76556777	-21.89997214
1.77289378	-21.34154909
1.78021979	-20.42934332
1.78754580	-21.22280143
1.79487180	-24.71640387
1.80219781	-25.14009079
1.80952382	-21.78628235
1.81684982	-21.21483379
1.82417583	-21.87407865
1.83150184	-21.47685149
1.83882785	-21.71538153
1.84615385	-22.39579166
1.85347986	-21.88988916
1.86080587	-23.49596601
1.86813188	-31.45813416
1.87545788	-27.39937944
1.88278389	-22.99897260
1.89010990	-22.98000221
1.89743591	-23.50556258
1.90476191	-22.81260171
1.91208792	-24.03851876
1.91941393	-29.78178275
1.92673993	-27.49942934
1.93406594	-23.76015945
1.94139195	-23.86167737
1.94871796	-24.03490060
1.95604396	-23.77879432
1.96336997	-24.30623416
1.97069598	-24.25577360
1.97802199	-24.44081766
1.98534799	-24.72066377
1.99267400	-24.73504951
2.00000001	-25.14899361
2.00732602	-24.99370104
2.01465202	-25.54199012
2.02197803	-25.88599186
2.02930404	-25.15958059
2.03663005	-27.23463057
2.04395605	-30.03430598
2.05128206	-26.81259324
2.05860807	-25.60501014
2.06593407	-26.21585289
2.07326008	-28.04602653
2.08058609	-28.64074150
2.08791210	-26.56804862
2.09523810	-26.32784754
2.10256411	-26.94725597
2.10989012	-26.65990676
2.11721613	-27.02095782
2.12454213	-27.25718317
2.13186814	-27.04508649
2.13919415	-27.69233429
2.14652016	-27.82425431
2.15384616	-28.35170758
2.16117217	-33.23206110
2.16849818	-46.97058127
2.17582419	-31.63504678
2.18315019	-28.98392261
2.19047620	-30.83860165
2.19780221	-42.70486749
2.20512821	-33.87584422
2.21245422	-30.24176453
2.21978023	-35.14367006
2.22710624	-40.78550678
2.23443224	-31.28205889
2.24175825	-30.50524081
2.24908426	-30.81361033
2.25641027	-31.65998526
2.26373627	-39.04846808
2.27106228	-39.31811629
2.27838829	-32.08494144
2.28571430	-31.02534431
2.29304030	-30.88220516
2.30036631	-30.93762736
2.30769232	-31.27955103
2.31501832	-31.58357333
2.32234433	-32.61614646
2.32967034	-32.49081474
2.33699635	-32.75400919
2.34432235	-37.26077024
2.35164836	-36.50719268
2.35897437	-33.98519298
2.36630038	-37.72170298
2.37362638	-36.98832149
2.38095239	-34.22654628
2.38827840	-38.26413827
2.39560441	-53.10382071
2.40293041	-37.45152842
2.41025642	-34.53234588
2.41758243	-34.02511032
2.42490844	-34.63830161
2.43223444	-34.76651007
2.43956045	-34.73842753
2.44688646	-34.97088345
2.45421246	-35.81699723
2.46153847	-41.33981514
2.46886448	-47.72741793
2.47619049	-37.06699875
2.48351649	-35.42568950
2.49084250	-35.49576363
2.49816851	-35.22709719
2.50549452	-35.37630762
2.51282052	-35.43461814
2.52014653	-35.42664795
2.52747254	-35.66273967
2.53479855	-35.71063338
2.54212455	-35.90474926
2.54945056	-36.09961459
2.55677657	-36.13387641
2.56410258	-36.63750098
2.57142858	-37.18448396
2.57875459	-36.98109875
2.58608060	-36.91777426
2.59340660	-37.32566378
2.60073261	-37.50534951
2.60805862	-37.73235443
2.61538463	-38.29096536
2.62271063	-39.69379575
2.63003664	-44.09117444
2.63736265	-54.27518065
2.64468866	-57.07584942
2.65201466	-49.97595527
2.65934067	-44.71908519
2.66666668	-42.63592474
2.67399269	-40.40448499
2.68131869	-40.48653040
2.68864470	-44.19737653
2.69597071	-41.09368571
2.70329671	-38.64461402
2.71062272	-39.14979995
2.71794873	-39.12492809
2.72527474	-38.89536458
2.73260074	-39.23445368
2.73992675	-39.50262466
2.74725276	-40.09158603
2.75457877	-40.46544975
2.76190477	-42.59466970
2.76923078	-49.88354612
2.77655679	-61.59856314
2.78388280	-54.55953614
2.79120880	-44.37867962
2.79853481	-41.17301857
2.80586082	-40.72996463
2.81318683	-40.20217690
2.82051283	-40.08618250
2.82783884	-40.31468901
2.83516485	-40.24278782
2.84249085	-40.66796596
2.84981686	-40.65846398
2.85714287	-40.60798734
2.86446888	-40.89430324
2.87179488	-41.42770998
2.87912089	-45.70847594
2.88644690	-63.21409026
2.89377291	-44.99179100
2.90109891	-42.25013217
2.90842492	-41.70143355
2.91575093	-41.88021044
2.92307694	-42.05860337
2.93040294	-41.84755051
2.93772895	-42.35922415
2.94505496	-42.33517838
2.95238096	-42.56094729
2.95970697	-46.10883404
2.96703298	-54.29514211
2.97435899	-60.56661838
2.98168499	-52.52875022
2.98901100	-46.59986730
2.99633701	-46.05618588
3.00366302	-50.07186731
3.01098902	-58.33735796
3.01831503	-59.60493196
3.02564104	-53.42997286
3.03296705	-48.36326652
3.04029305	-48.18738139
3.04761906	-55.52510657
3.05494507	-47.46062080
3.06227108	-44.06373256
3.06959708	-44.47928232
3.07692309	-44.65451630
3.08424910	-44.19541363
3.09157510	-44.52998522
3.09890111	-44.87621207
3.10622712	-45.49249950
3.11355313	-45.64756079
3.12087913	-46.44272291
3.12820514	-50.63413619
3.13553115	-58.78974508
3.14285716	-58.65817456
3.15018316	-49.83353760
3.15750917	-47.87075030
3.16483518	-51.80997221
3.17216119	-59.89037128
3.17948719	-51.68221747
3.18681320	-51.09586614
3.19413921	-47.83184178
3.20146522	-46.01268666
3.20879122	-48.09021843
